Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
2210839,Waiting for Normal,Leslie Connor,"Connor, Leslie",,"=""0060890886""","=""9780060890889""",0,4.06,HarperCollins,Hardcover,290,2008,2008,,2023/05/03,to-read,to-read (#40),to-read,,,,0,0
310146,The True Confessions of Charlotte Doyle,Avi,"Avi, Avi",,"=""0380714752""","=""9780380714759""",0,3.86,Harpercollins Childrens Books,Mass Market Paperback,232,1992,1990,,2023/04/10,to-read,to-read (#39),to-read,,,,0,0
1431,Veronika Decides to Die,Paulo Coelho,"Coelho, Paulo",Margaret Jull Costa,"=""""","=""""",0,3.73,Harper Perennial,Paperback,285,2006,1998,,2023/04/01,to-read,to-read (#38),to-read,,,,0,0
5598690,Crash Into Me,Albert Borris,"Borris, Albert",,"=""1416974350""","=""9781416974352""",0,3.77,Simon & Schuster Books for Young Readers,Hardcover,257,2009,2009,,2023/04/01,to-read,to-read (#37),to-read,,,,0,0
33630116,Madness,Zac Brewer,"Brewer, Zac",Z Brewer,"=""0062457853""","=""9780062457851""",0,3.70,HarperTeen,Hardcover,304,2017,2017,,2023/04/01,to-read,to-read (#36),to-read,,,,0,0
248704,It's Kind of a Funny Story,Ned Vizzini,"Vizzini, Ned",,"=""078685197X""","=""9780786851973""",0,4.07,Disney Hyperion,Paperback,444,2007,2006,,2023/04/01,to-read,to-read (#35),to-read,,,,0,0
34381137,Dear Evan Hansen,Steven  Levenson,"Levenson, Steven","Benj Pasek, Justin  Paul","=""1559365609""","=""9781559365604""",0,4.32,Theatre Communications Group,Paperback,144,2017,2017,,2023/04/01,to-read,to-read (#34),to-read,,,,0,0
18460392,All the Bright Places,Jennifer Niven,"Niven, Jennifer",,"=""0385755880""","=""9780385755887""",0,4.11,Knopf,Hardcover,388,2015,2015,,2023/04/01,to-read,to-read (#33),to-read,,,,0,0
18336965,My Heart and Other Black Holes,Jasmine Warga,"Warga, Jasmine",,"=""0062324691""","=""9780062324696""",0,3.96,HarperCollins/Balzer + Bray,Kindle Edition,302,2015,2015,,2023/04/01,to-read,to-read (#32),to-read,,,,0,0
18879761,I Was Here,Gayle Forman,"Forman, Gayle",,"=""0451471474""","=""9780451471475""",0,3.73,Viking Juvenile,Hardcover,270,2015,2015,,2023/04/01,to-read,to-read (#31),to-read,,,,0,0
